Date,AAPL,MSFT,NVDA,JPM,XOM,KO,JNJ,WMT,DIS,SPY
2022-03-15,151.8149,277.1816,22.9046,118.3106,66.8341,52.6123,155.9434,45.9408,130.1154,400.9915
2022-03-16,156.2199,284.1702,24.423,123.5974,66.5831,52.4711,154.5092,45.8053,133.9355,409.8832
2022-03-17,157.2281,284.9715,24.6922,125.1602,68.3574,53.0271,156.5278,45.8749,135.225,415.0112
2022-03-18,160.5172,290.0005,26.3742,125.1156,68.0891,53.0359,154.7925,46.0109,136.0297,419.5568
2022-03-21,161.8876,288.7746,26.6543,124.7137,71.1443,53.4595,155.6689,45.6281,134.4008,419.4341
2022-03-22,165.255,293.5045,26.445,127.366,70.8327,53.6536,154.9341,45.4921,135.8455,424.3419
2022-03-23,166.6156,289.0931,25.5576,124.8298,71.9492,53.3006,154.3498,44.9068,133.4507,418.8772
2022-03-24,170.3941,293.5432,28.0661,125.6425,72.1656,53.8124,155.1466,45.1852,134.7305,425.1914
2022-03-25,171.0304,293.1377,27.6095,126.7409,73.7408,54.2978,156.634,45.3814,134.905,427.2679
2022-03-28,171.8918,299.9141,28.1349,125.8033,71.6723,54.6419,157.4396,46.1881,134.4978,430.3071
2022-03-29,175.1809,304.4605,28.5706,126.0801,71.2915,54.8537,157.3599,46.5772,138.0464,435.6303
2022-03-30,174.0159,302.9643,27.6075,125.5085,72.5118,54.8979,158.9978,47.4124,136.6696,432.9404
2022-03-31,170.9227,297.607,27.2047,121.7399,71.4819,54.7125,156.9084,47.1118,132.9853,426.2768
2022-04-01,170.629,298.6784,26.6324,120.8379,71.9406,55.4803,157.7584,47.773,132.8302,427.485
2022-04-04,174.6718,304.0357,27.2785,121.3737,71.9752,55.1891,156.2356,47.7825,134.3621,431.1472
2022-04-05,171.3632,300.0878,25.8537,119.9612,71.603,55.1273,157.2449,47.9185,131.4921,425.701
2022-04-06,168.2014,289.1029,24.3343,118.2969,72.3993,55.6833,161.3351,49.0321,128.535,421.4444
